,PassengerId,predict,,PassengerId,Survived,,,,total count,accuracy
0,892,0,,892,0,TRUE,390,28,418,93.30
1,893,0,,893,1,FALSE,,,,
2,894,0,,894,0,TRUE,,,,
3,895,0,,895,0,TRUE,,,,
4,896,1,,896,1,TRUE,,,,
5,897,0,,897,0,TRUE,,,,
6,898,1,,898,1,TRUE,,,,
7,899,0,,899,0,TRUE,,,,
8,900,1,,900,1,TRUE,,,,
9,901,0,,901,0,TRUE,,,,
10,902,0,,902,0,TRUE,,,,
11,903,0,,903,0,TRUE,,,,
12,904,1,,904,1,TRUE,,,,
13,905,0,,905,0,TRUE,,,,
14,906,1,,906,1,TRUE,,,,
15,907,1,,907,1,TRUE,,,,
16,908,0,,908,0,TRUE,,,,
17,909,0,,909,0,TRUE,,,,
18,910,1,,910,1,TRUE,,,,
19,911,1,,911,1,TRUE,,,,
20,912,0,,912,0,TRUE,,,,
21,913,0,,913,0,TRUE,,,,
22,914,1,,914,1,TRUE,,,,
23,915,1,,915,0,FALSE,,,,
24,916,1,,916,1,TRUE,,,,
25,917,0,,917,0,TRUE,,,,
26,918,1,,918,1,TRUE,,,,
27,919,0,,919,0,TRUE,,,,
28,920,0,,920,0,TRUE,,,,
29,921,0,,921,0,TRUE,,,,
30,922,0,,922,0,TRUE,,,,
31,923,0,,923,0,TRUE,,,,
32,924,0,,924,1,FALSE,,,,
33,925,0,,925,1,FALSE,,,,
34,926,1,,926,0,FALSE,,,,
35,927,0,,927,0,TRUE,,,,
36,928,1,,928,1,TRUE,,,,
37,929,1,,929,1,TRUE,,,,
38,930,0,,930,0,TRUE,,,,
39,931,0,,931,0,TRUE,,,,
40,932,0,,932,0,TRUE,,,,
41,933,0,,933,0,TRUE,,,,
42,934,0,,934,0,TRUE,,,,
43,935,1,,935,1,TRUE,,,,
44,936,1,,936,1,TRUE,,,,
45,937,0,,937,0,TRUE,,,,
46,938,0,,938,0,TRUE,,,,
47,939,0,,939,0,TRUE,,,,
48,940,1,,940,1,TRUE,,,,
49,941,0,,941,1,FALSE,,,,
50,942,0,,942,0,TRUE,,,,
51,943,0,,943,0,TRUE,,,,
52,944,1,,944,1,TRUE,,,,
53,945,1,,945,1,TRUE,,,,
54,946,0,,946,0,TRUE,,,,
55,947,0,,947,0,TRUE,,,,
56,948,0,,948,0,TRUE,,,,
57,949,0,,949,0,TRUE,,,,
58,950,0,,950,0,TRUE,,,,
59,951,1,,951,1,TRUE,,,,
60,952,0,,952,0,TRUE,,,,
61,953,0,,953,0,TRUE,,,,
62,954,0,,954,0,TRUE,,,,
63,955,1,,955,1,TRUE,,,,
64,956,1,,956,0,FALSE,,,,
65,957,1,,957,1,TRUE,,,,
